"vesselID_randomized","unique.id","DATE.ym","year","boatsize","DAYS.FISH","dmi","benso","month","catch","simpson.diversity","sp.richness"
104,"W-39-1990-01-12-2",1990-01-01,1990,11,1,0.076,0.15,1,1063.56,0.487684837674655,2
104,"W-39-1990-01-31-1",1990-01-01,1990,11,1,0.076,0.15,1,313.47,0.495154719446435,2
104,"W-39-1990-02-17-2",1990-02-01,1990,11,3,-0.108,1.12,2,409.123333333333,0.828195525599269,6
104,"W-39-1990-02-23-1",1990-02-01,1990,11,3,-0.108,1.12,2,514.973333333333,0.822622744436631,7
104,"W-39-1990-04-10-1",1990-04-01,1990,11,1,-0.189,0.32,4,209.25,0.641311852028787,3
104,"W-39-1990-05-16-1",1990-05-01,1990,11,2,-0.133,-0.29,5,417.565,0.716582353874123,4
104,"W-39-1990-05-22-1",1990-05-01,1990,11,1,-0.133,-0.29,5,111.15,0.428839073577184,2
104,"W-39-1990-05-23-2",1990-05-01,1990,11,1,-0.133,-0.29,5,77.07,0.467800654553844,2
104,"W-39-1990-05-24-1",1990-05-01,1990,11,1,-0.133,-0.29,5,86,0.613393556028544,3
104,"W-39-1990-05-26-1",1990-05-01,1990,11,1,-0.133,-0.29,5,229.8,0.737279999678348,4
104,"W-39-1990-05-29-2",1990-05-01,1990,11,1,-0.133,-0.29,5,336.37,0.728962898828137,4
104,"W-39-1990-05-31-1",1990-05-01,1990,11,1,-0.133,-0.29,5,425.4,0.76840992067323,5
104,"W-39-1990-06-25-1",1990-06-01,1990,11,1,-0.358,0.12,6,147.8,0.441386138791759,2
104,"W-39-1990-07-03-1",1990-07-01,1990,11,1,0.059,0.03,7,303.71,0.768625074509943,5
104,"W-39-1990-07-14-2",1990-07-01,1990,11,2,0.059,0.03,7,111.195,0.495474732139629,2
104,"W-39-1990-08-03-1",1990-08-01,1990,11,3,-0.092,0.47,8,173.31,0.774838582866074,6
104,"W-39-1990-08-09-1",1990-08-01,1990,11,3,-0.092,0.47,8,169.256666666667,0.825219703445285,6
104,"W-39-1990-09-20-1",1990-09-01,1990,11,3,0.207,0.55,9,223.026666666667,0.812924640654331,6
104,"W-39-1990-09-27-1",1990-09-01,1990,11,3,0.207,0.55,9,360.17,0.859133885666729,8
104,"W-39-1990-09-29-1",1990-09-01,1990,11,2,0.207,0.55,9,516.07,0.85506299339094,7
104,"W-39-1990-10-05-1",1990-10-01,1990,11,3,0.038,0.17,10,277.3,0.841356972716874,7
104,"W-39-1990-10-20-1",1990-10-01,1990,11,4,0.038,0.17,10,158.575,0.813681130391632,6
104,"W-39-1990-12-13-1",1990-12-01,1990,11,3,0.231,0.4,12,318.976666666667,0.81509528302179,6
104,"W-39-1990-12-21-1",1990-12-01,1990,11,3,0.231,0.4,12,305.93,0.850742385455581,7
104,"W-39-1990-12-30-1",1990-12-01,1990,11,3,0.231,0.4,12,273.37,0.789607254170953,5
104,"W-39-1991-01-18-1",1991-01-01,1991,11,3,0.24,0.12,1,428.056666666667,0.847029697840112,7
104,"W-39-1991-01-25-1",1991-01-01,1991,11,2,0.24,0.12,1,623.53,0.828427153192834,6
104,"W-39-1991-02-08-1",1991-02-01,1991,11,2,0.077,0.23,2,730.84,0.843408215762818,7
